backend,member,group,frames,atoms,component_mae,component_rmse,component_p95,component_p99,component_max,vector_p95,vector_max
deepmd,dft/FC/CF0.4_d3.2.extxyz,dft/FC/CF0.4_d3.2.extxyz:anneal,8,1152,0.19270513995171676,0.26603349575400764,0.5553774431022753,0.8459337921395286,1.396520668233752,0.8858334191892777,1.3967670183143437
deepmd,dft/FC/CF0.4_d3.2.extxyz,dft/FC/CF0.4_d3.2.extxyz:melt,8,1152,0.3065253520949933,0.40555210861503505,0.8389748055123443,1.1954343398384166,2.07175838950259,1.235572958904911,2.7749945366742015
deepmd,dft/FC/CF0.4_d3.2.extxyz,dft/FC/CF0.4_d3.2.extxyz:quench,8,1152,0.2642216072137341,0.35905380448106095,0.7315304664516977,1.1130829977446475,1.797361385704643,1.168314265422432,1.8803826762432032
deepmd,dft/etch/trj_CF2_30eV.extxyz,trj_CF2_30eV_case1,32,4801,0.1208395934327151,0.19463521279635115,0.39821739773236997,0.7417821271233596,2.504879531464474,0.6614190029977354,2.916583111327804
deepmd,dft/etch/trj_CF3_30eV.extxyz,trj_CF3_30eV_case1,32,4800,0.13279997300650154,0.21160017078027538,0.4306844437481283,0.7625502443504532,2.994958797870636,0.6868865961378573,3.0139854493002574
deepmd,dft/mqa/mqa_Si.extxyz,dft/mqa/mqa_Si.extxyz:mqa_Si,8,512,0.1037985370870488,0.13183592312843206,0.2669561813777305,0.3379149279480694,0.5351752573054991,0.3625127418210079,0.730845169924793
deepmd,dft/mqa/mqa_SiC.extxyz,dft/mqa/mqa_SiC.extxyz:mqa_SiC,8,512,0.17852327856052372,0.22814537613026867,0.4445542584289867,0.6397022389146485,1.005225562221825,0.662385860705314,1.040107117988051
deepmd,dft/mqa/mqa_SiO2.extxyz,dft/mqa/mqa_SiO2.extxyz:mqa_SiO2,8,792,0.0585704882203288,0.0917109934646553,0.17731625883720276,0.3406846102176465,0.7562837235494779,0.31270460636702263,0.9100495616098608
deepmd,dft/qsd/qsd_data.extxyz,CF3_10eV_19_10,4,404,10.571130085615863,159.66740322773003,0.8051625901706057,19.958484086654337,3356.1835451209886,1.3377038332778877,3879.8255088225055
deepmd,dft/qsd/qsd_data.extxyz,CF3_10eV_19_59,22,2354,18.474187264118388,479.42322668924305,2.9075860980656345,78.92623123278305,24895.503349355422,8.28828142461976,27368.376261629288
